web-scraper-order,grade,optativas,empty
1711401207-1,CAD011-DIG - ADMINISTRACAO,,
1711401207-2,DCC050-DIG - INTRODUCAO A CIENCIA DA COMPUTACAO,,
1711401207-3,DCC203-DIG - PROGRAMAÇÃO E DESENVOLVIMENTO DE SOFTWARE I,,
1711401207-4,DCC638-DIG - INTRODUÇÃO À LÓGICA COMPUTACIONAL,,
1711401207-5,MAT038-DIG - GEOMETRIA ANALITICA E ALGEBRA LINEAR,,
1711401207-6,DCC204-DIG - PROGRAMAÇÃO E DESENVOLVIMENTO DE SOFTWARE II,,
1711401207-7,DCC216-DIG - MATEMÁTICA DISCRETA,,
1711401207-8,DCC639-DIG - ÁLGEBRA LINEAR COMPUTACIONAL,,
1711401207-9,ECN140-DIG - INTRODUÇÃO À ECONOMIA,,
1711401207-10,MAT001-DIG - CALCULO DIFERENCIAL E INTEGRAL I,,
1711401207-11,DCC011-DIG - INTRODUCAO A BANCO DE DADOS,,
1711401207-12,DCC114-DIG - INTRODUCAO AOS SISTEMAS LOGICOS,,
1711401207-13,DCC205-DIG - ESTRUTURAS DE DADOS,,
1711401207-14,EST032-DIG - PROBABILIDADE,,
1711401207-15,MAT039-DIG - CALCULO DIFERENCIAL E INTEGRAL II,,
1711401207-16,DCC006-DIG - ORGANIZACAO DE COMPUTADORES I,,
1711401207-17,DCC129-DIG - FUNDAMENTOS DA TEORIA DA COMPUTACAO,,
1711401207-18,DCC206-DIG - ALGORITMOS I,,
1711401207-19,DCC212-DIG - INTRODUÇÃO À CIÊNCIA DOS DADOS,,
1711401207-20,MAT034-DIG - ALGEBRA A,,
1711401207-21,DCC024-DIG - LINGUAGENS DE PROGRAMACAO,,
1711401207-22,DCC035-DIG - PESQUISA OPERACIONAL,,
1711401207-23,DCC207-DIG - ALGORITMOS II,,
1711401207-24,MAT040-DIG - EQUACOES DIFERENCIAIS C,,
1711401207-25,DCC053-DIG - COMPILADORES I,,
1711401207-26,DCC603-DIG - ENGENHARIA DE SOFTWARE,,
1711401207-27,DCC605-DIG - SISTEMAS OPERACIONAIS,,
1711401207-28,FIS156-DIG - INTRODUÇÃO À FÍSICA ESTATÍSTICA COMPUTACIONAL,,
1711401207-29,DCC023-DIG - REDES DE COMPUTADORES,,
1711401207-30,DCC636-DIG - ÉTICA NA COMPUTAÇÃO,,
1711401207-31,DCC641-DIG - FUNDAMENTOS DE SISTEMAS PARALELOS E DISTRIBUÍDOS,,
1711401207-32,DCC642-DIG - INTRODUÇÃO À INTELIGÊNCIA ARTIFICIAL,,
1711401207-33,DCC637-DIG - COMPUTAÇÃO E SOCIEDADE,,
1711401207-34,DCC604-DIG - PROJETO ORIENTADO EM COMPUTACAO I,,
1711401207-35,DCC009-DIG - PROJETO ORIENTADO EM COMPUTACAO II,,
1711401207-36,,MAT008-DIG - ALGEBRA II,
1711401207-37,,DCC186-DIG - ALGORITMOS PARA BIOINFORMATICA I,
1711401207-38,,DCC187-DIG - ALGORITMOS PARA BIOINFORMATICA II,
1711401207-39,,DCC188-DIG - ANALISE E MODELAGEM DE DESEMPENHO DE SISTEMAS DE COMPUTACAO,
1711401207-40,,DCC189-DIG - ARMAZENS DE DADOS,
1711401207-41,,DCC190-DIG - BIBLIOTECAS DIGITAIS,
1711401207-42,,MAT002-DIG - CALCULO DIFERENCIAL E INTEGRAL III,
1711401207-43,,DCC054-DIG - COMPILADORES II,
1711401207-44,,DCC027-DIG - COMPUTACAO GRAFICA,
1711401207-45,,DCC191-DIG - COMPUTACAO NATURAL,
1711401207-46,,DCC192-DIG - DESENVOLVIMENTO DE JOGOS DIGITAIS,
1711401207-47,,ICE136-07G - DISCUSSÕES TEMÁTICAS,
1711401207-48,,ICE135-11G - EMPREENDEDORISMO,
1711401207-49,,DCC055-DIG - EMPREENDIMENTOS EM INFORMATICA,
1711401207-50,,DCC056-DIG - ENGENHARIA DE APLICACAO EM REDE,
1711401207-51,,DCC072-DIG - ENGENHARIA DE SOFTWARE II,
1711401207-52,,DCC193-DIG - ENGENHARIA DE USABILIDADE,
1711401207-53,,ICE133-10G - ESTÁGIO,
1711401207-54,,FIS069-DIG - FUNDAMENTOS DE ELETROMAGNETISMO,
1711401207-55,,FIS088-DIG - FUNDAMENTOS DE FISICA QUANTICA,
1711401207-56,,LET223-DIG - FUNDAMENTOS DE LIBRAS,
1711401207-57,,FIS065-DIG - FUNDAMENTOS DE MECANICA,
1711401207-58,,FIS152-DIG - FUNDAMENTOS DE MECÂNICA DOS FLUIDOS E TERMODINÂMICA,
1711401207-59,,FIS087-DIG - FUNDAMENTOS DE OSCILACOES E ONDAS,
1711401207-60,,"FIS086-DIG - FUNDAMENTOS DE OSCILACOES, ONDAS E OPTICAS",
1711401207-61,,FIS155-DIG - FÍSICA EXPERIMENTAL BÁSICA - ONDAS E ÓPTICA,
1711401207-62,,FIS153-DIG - FÍSICA EXPERIMENTAL BÁSICA:  ELETROMAGNETISMO,
1711401207-63,,FIS151-DIG - FÍSICA EXPERIMENTAL BÁSICA: MECÂNICA,
1711401207-64,,FIS154-DIG - FÍSICA EXPERIMENTAL BÁSICA: TERMODINÂMICA,
1711401207-65,,DCC215-DIG - HEURÍSTICAS E METAHEURÍSTICAS,
1711401207-66,,ICE132-03G - INICIAÇÃO CIENTÍFICA,
1711401207-67,,DCC028-DIG - INTELIGENCIA ARTIFICIAL,
1711401207-68,,DCC194-DIG - INTERACAO HUMANO-COMPUTADOR,
1711401207-69,,DCC041-DIG - INTRODUCAO A ROBOTICA,
1711401207-70,,DCC057-DIG - MINERACAO DE DADOS,
1711401207-71,,DCC196-DIG - MODELAGEM DE PROCESSOS DE NEGOCIO,
1711401207-72,,DCC195-DIG - MÉTODOS QUANTITATIVOS DE PESQUISA EXPERIMENTAL EM CIÊNCIA DA COMPUTAÇÃO,
1711401207-73,,DCC007-DIG - ORGANIZACAO DE COMPUTADORES II,
1711401207-74,,ICE134-12G - PARTICIPAÇÃO EM EMPRESA JÚNIOR,
1711401207-75,,ICE131-04G - PARTICIPAÇÃO EM EVENTOS I,
1711401207-76,,DCC197-DIG - PROCESSAMENTO DIGITAL DE SOM E VIDEO,
1711401207-77,,DCC029-DIG - PROCESSAMENTOS DIGITAL DE IMAGENS,
1711401207-78,,DCC058-DIG - PROJETOS E CONCEITOS DE SISTEMAS PARALELOS E DISTRIBUÍDOS,
1711401207-79,,"DCC198-DIG - REDES COMPLEXAS EM COMPUTACAO: MODELAGEM, ALGORITMOS E APLICACOES",
1711401207-80,,DCC039-DIG - ROBOTICA,
1711401207-81,,DCC042-DIG - ROBOTICA MOVEL,
1711401207-82,,DCC059-DIG - SEMANTICA FORMAL,
1711401207-83,,DCC014-DIG - SISTEMA DE TEMPO REAL,
1711401207-84,,DCC008-DIG - SOFTWARE BASICO,
1711401207-85,,DCC030-DIG - TOPICOS EM CIENCIA DA COMPUTACAO,
1711401207-86,,DCC213-DIG - TÓPICOS EM FORMAÇÃO AVANÇADA I,
1711401207-87,,DCC214-DIG - TÓPICOS EM FORMAÇÃO AVANÇADA II,
1711401207-88,,DCC043-DIG - VISAO COMPUTACIONAL,
